TABLE NAME,ATTRIBUTE NAME,CONTENTS,TYPE,FORMAT,RANGE,REQUIRED,PK or FK,FK REFERENCED TABLE
FactResellerSales,ProductKey,Column containing ProductKey,INT,Integer,212 to 606,Yes,FK,DimProduct
FactResellerSales,OrderDateKey,Column containing OrderDateKey,INT,Integer,20101229 to 20131129,Yes,FK,DimDate
FactResellerSales,DueDateKey,Column containing DueDateKey,INT,Integer,20110110 to 20131211,Yes,FK,DimDate
FactResellerSales,ShipDateKey,Column containing ShipDateKey,INT,Integer,20110105 to 20131206,Yes,FK,DimDate
FactResellerSales,ResellerKey,Column containing ResellerKey,INT,Integer,1 to 701,Yes,FK,DimReseller
FactResellerSales,EmployeeKey,Column containing EmployeeKey,INT,Integer,272 to 296,Yes,FK,DimEmployee
FactResellerSales,PromotionKey,Column containing PromotionKey,INT,Integer,1 to 16,Yes,FK,DimPromotion
FactResellerSales,CurrencyKey,Column containing CurrencyKey,INT,Integer,6 to 100,Yes,FK,DimCurrency
FactResellerSales,SalesTerritoryKey,Column containing SalesTerritoryKey,INT,Integer,1 to 10,Yes,FK,DimSalesTerritory
FactResellerSales,SalesOrderNumber,Column containing SalesOrderNumber,NVARCHAR,Text,SO43659 to SO71952,Yes,PK,N/A
FactResellerSales,SalesOrderLineNumber,Column containing SalesOrderLineNumber,TINYINT,Integer,1 to 72,Yes,PK,N/A
FactResellerSales,RevisionNumber,Column containing RevisionNumber,TINYINT,Integer,1 to 2,No,No,N/A
FactResellerSales,OrderQuantity,Column containing OrderQuantity,SMALLINT,Integer,1 to 44,No,No,N/A
FactResellerSales,UnitPrice,Column containing UnitPrice,MONEY,Currency / Decimal,1.3282 to 2146.9620,No,No,N/A
FactResellerSales,ExtendedAmount,Column containing ExtendedAmount,MONEY,Currency / Decimal,1.3740 to 30992.9100,No,No,N/A
FactResellerSales,UnitPriceDiscountPct,Column containing UnitPriceDiscountPct,FLOAT,Currency / Decimal,0.0 to 0.4,No,No,N/A
FactResellerSales,DiscountAmount,Column containing DiscountAmount,FLOAT,Currency / Decimal,0.0 to 4005.2376,No,No,N/A
FactResellerSales,ProductStandardCost,Column containing ProductStandardCost,MONEY,Currency / Decimal,0.8565 to 2171.2942,No,No,N/A
FactResellerSales,TotalProductCost,Column containing TotalProductCost,MONEY,Currency / Decimal,0.8565 to 38530.3854,No,No,N/A
FactResellerSales,SalesAmount,Column containing SalesAmount,MONEY,Currency / Decimal,1.3740 to 27893.6190,No,No,N/A
FactResellerSales,TaxAmt,Column containing TaxAmt,MONEY,Currency / Decimal,0.1099 to 2231.4895,No,No,N/A
FactResellerSales,Freight,Column containing Freight,MONEY,Currency / Decimal,0.0344 to 697.3405,No,No,N/A
FactResellerSales,CarrierTrackingNumber,Column containing CarrierTrackingNumber,NVARCHAR,Text,000A-434D-BC to FFF9-4C3E-A9,No,No,N/A
FactResellerSales,CustomerPONumber,Column containing CustomerPONumber,NVARCHAR,Text,PO10005144378 to PO9976195169,No,No,N/A
FactResellerSales,OrderDate,Column containing OrderDate,DATETIME,YYYY-MM-DD,2010-12-29 00:00:00 to 2013-11-29 00:00:00,No,No,N/A
FactResellerSales,DueDate,Column containing DueDate,DATETIME,YYYY-MM-DD,2011-01-10 00:00:00 to 2013-12-11 00:00:00,No,No,N/A
FactResellerSales,ShipDate,Column containing ShipDate,DATETIME,YYYY-MM-DD,2011-01-05 00:00:00 to 2013-12-06 00:00:00,No,No,N/A
FactSalesQuota,SalesQuotaKey,Column containing SalesQuotaKey,INT,Integer,1 to 163,Yes,PK,N/A
FactSalesQuota,EmployeeKey,Column containing EmployeeKey,INT,Integer,272 to 296,Yes,FK,DimEmployee
FactSalesQuota,DateKey,Column containing DateKey,INT,Integer,20101229 to 20130929,Yes,FK,DimDate
FactSalesQuota,CalendarYear,Column containing CalendarYear,SMALLINT,Integer,2010 to 2013,Yes,No,N/A
FactSalesQuota,CalendarQuarter,Column containing CalendarQuarter,TINYINT,Integer,1 to 4,Yes,No,N/A
FactSalesQuota,SalesAmountQuota,Column containing SalesAmountQuota,MONEY,Currency / Decimal,1000.0000 to 1898000.0000,Yes,No,N/A
FactSalesQuota,Date,Column containing Date,DATETIME,YYYY-MM-DD,2010-12-29 00:00:00 to 2013-09-29 00:00:00,No,No,N/A
